0,0.8185774683952332,0.8160635828971863,0.9292513728141785,0
500,0.9999992251396179,0.9999979734420776,0.9999812245368958,1
1000,0.9999996423721313,0.9999987483024597,0.9999977946281433,2
1500,1.0,0.9999999403953552,0.9999998807907104,3
2000,1.0,0.9999998807907104,1.0,4
2500,1.0,1.0,1.0,5
3000,1.0,1.0,1.0,6
3500,1.0,0.9999998807907104,1.0,7
4000,1.0,1.0,1.0,8
4500,1.0,1.0,1.0,9
5000,1.0,1.0,1.0,10
5500,1.0,1.0,1.0,11
6000,1.0,1.0,1.0,12
6500,1.0,1.0,1.0,13
7000,1.0,1.0,1.0,14
7500,1.0,1.0,1.0,15
8000,1.0,1.0,1.0,16
8500,1.0,1.0,1.0,17
9000,1.0,1.0,1.0,18
9500,1.0,1.0,1.0,19
10000,1.0,1.0,1.0,20
10500,1.0,1.0,1.0,21
11000,1.0,1.0,1.0,22
11500,1.0,1.0,1.0,23
12000,1.0,1.0,1.0,24
12500,1.0,1.0,1.0,25
13000,1.0,1.0,1.0,26
13500,1.0,1.0,1.0,27
14000,1.0,1.0,1.0,28
14500,1.0,1.0,1.0,29
15000,1.0,1.0,1.0,30
15500,1.0,1.0,1.0,31
16000,1.0,1.0,1.0,32
16500,1.0,1.0,1.0,33
17000,1.0,1.0,1.0,34
17500,1.0,0.9999998211860657,1.0,35
18000,1.0,0.9999997615814209,1.0,36
18500,1.0,1.0,1.0,37
19000,1.0,1.0,1.0,38
19500,1.0,1.0,1.0,39
20000,1.0,1.0,1.0,40
20500,1.0,0.9999997019767761,1.0,41
21000,1.0,1.0,1.0,42
21500,1.0,1.0,1.0,43
22000,1.0,1.0,1.0,44
22500,1.0,1.0,1.0,45
23000,1.0,0.9999998807907104,1.0,46
23500,1.0,0.9999999403953552,1.0,47
24000,1.0,0.9999999403953552,1.0,48
24500,1.0,0.9999998807907104,1.0,49
25000,1.0,0.9999999403953552,1.0,50
25500,1.0,0.9999998807907104,1.0,51
26000,1.0,0.9999998211860657,1.0,52
26500,1.0,0.9999998807907104,1.0,53
27000,1.0,0.9999997615814209,1.0,54
27500,1.0,0.9999999403953552,1.0,55
28000,1.0,0.9999998211860657,1.0,56
28500,1.0,1.0,1.0,57
29000,1.0,0.9999998211860657,1.0,58
29500,1.0,1.0,1.0,59
30000,1.0,0.9999999403953552,1.0,60
30500,1.0,0.9999998807907104,1.0,61
31000,1.0,1.0,1.0,62
31500,1.0,1.0,1.0,63
32000,1.0,1.0,1.0,64
32500,1.0,0.9999996423721313,1.0,65
33000,1.0,0.9999991655349731,1.0,66
33500,1.0,0.9999999403953552,1.0,67
34000,1.0,0.999999463558197,1.0,68
34500,1.0,0.9999991059303284,1.0,69
35000,1.0,0.9999997615814209,1.0,70
35500,1.0,0.9999995231628418,1.0,71
36000,1.0,0.9999998211860657,1.0,72
36500,1.0,0.9999998807907104,1.0,73
37000,1.0,0.9999997019767761,1.0,74
37500,1.0,0.9999993443489075,1.0,75
38000,1.0,0.9999997615814209,1.0,76
38500,1.0,0.9999988675117493,1.0,77
39000,1.0,0.9999996423721313,1.0,78
39500,1.0,0.9999977946281433,1.0,79
40000,1.0,1.0,1.0,80
40500,1.0,0.9999995827674866,1.0,81
41000,1.0,0.9999992847442627,1.0,82
41500,1.0,0.9999966025352478,1.0,83
42000,1.0,0.9999979734420776,1.0,84
42500,1.0,0.9999991059303284,1.0,85
43000,1.0,0.9999997019767761,1.0,86
43500,1.0,0.9999994039535522,1.0,87
44000,1.0,0.9999995231628418,1.0,88
44500,1.0,0.9999995827674866,1.0,89
45000,1.0,0.9999984502792358,1.0,90
45500,1.0,0.999998152256012,1.0,91
46000,1.0,0.9999996423721313,1.0,92
46500,1.0,0.9999982714653015,1.0,93
47000,1.0,0.9999998807907104,1.0,94
47500,1.0,0.9999996423721313,1.0,95
48000,1.0,0.9999893307685852,1.0,96
48500,1.0,0.9999971985816956,1.0,97
49000,1.0,1.0,1.0,98
49500,1.0,0.9999998807907104,1.0,99
50000,1.0,0.9999977946281433,1.0,100
